SUID,shared name,name,selected,KEGG_NODE_X,KEGG_NODE_Y,KEGG_NODE_WIDTH,KEGG_NODE_HEIGHT,KEGG_NODE_LABEL,KEGG_NODE_LABEL_LIST_FIRST,KEGG_NODE_LABEL_LIST,KEGG_ID,KEGG_NODE_LABEL_COLOR,KEGG_NODE_FILL_COLOR,KEGG_NODE_REACTIONID,KEGG_NODE_TYPE,KEGG_NODE_SHAPE,KEGG_LINK
222,path:eco00260:183,path:eco00260:183,false,713,495,46,17,K00827...,K00827...,K00827...,ko:K00827|ko:K00830|ko:K14272,#000000,#FFFFFF,rn:R00372,ortholog,rectangle,http://www.kegg.jp/dbget-bin/www_bget?K00827+K00830+K14272
223,path:eco00260:185,path:eco00260:185,false,734,826,8,8,C00986,1,3-Diaminopropane,C00986,cpd:C00986,#000000,#FFFFFF,,compound,circle,http://www.kegg.jp/dbget-bin/www_bget?C00986
224,path:eco00260:186,path:eco00260:186,false,735,864,46,17,K13745,K13745,K13745,ko:K13745,#000000,#FFFFFF,rn:R07650,ortholog,rectangle,http://www.kegg.jp/dbget-bin/www_bget?K13745
225,path:eco00260:187,path:eco00260:187,false,870,826,118,34,Arginine and proline metabolism,Arginine and proline metabolism,Arginine and proline metabolism,path:eco00330,#000000,#89b9cE,,map,roundrectangle,http://www.kegg.jp/dbget-bin/www_bget?eco00330
226,path:eco00260:189,path:eco00260:189,false,195,135,8,8,C00631,2-Phospho-D-glycerate,C00631,cpd:C00631,#000000,#FFFFFF,,compound,circle,http://www.kegg.jp/dbget-bin/www_bget?C00631
227,path:eco00260:191,path:eco00260:191,false,195,169,46,17,K11529,K11529,K11529,ko:K11529,#000000,#FFFFFF,rn:R08572,ortholog,rectangle,http://www.kegg.jp/dbget-bin/www_bget?K11529
228,path:eco00260:192,path:eco00260:192,false,259,125,46,17,gpmA,gpmA,gpmA,eco:b0755,#000000,#BFFFBF,rn:R01518,gene,rectangle,http://www.kegg.jp/dbget-bin/www_bget?eco:b0755
229,path:eco00260:194,path:eco00260:194,false,915,956,46,17,K15783,K15783,K15783,ko:K15783,#000000,#FFFFFF,rn:R09800,ortholog,rectangle,http://www.kegg.jp/dbget-bin/www_bget?K15783
230,path:eco00260:195,path:eco00260:195,false,861,955,8,8,C19929,N-alpha-Acetyl-L-2,4-diaminobutyrate,C19929,cpd:C19929,#000000,#FFFFFF,,compound,circle,http://www.kegg.jp/dbget-bin/www_bget?C19929
231,path:eco00260:197,path:eco00260:197,false,792,956,46,17,K15784,K15784,K15784,ko:K15784,#000000,#FFFFFF,rn:R09801,ortholog,rectangle,http://www.kegg.jp/dbget-bin/www_bget?K15784
232,path:eco00260:199,path:eco00260:199,false,663,956,46,17,K15785,K15785,K15785,ko:K15785,#000000,#FFFFFF,rn:R06977,ortholog,rectangle,http://www.kegg.jp/dbget-bin/www_bget?K15785
233,path:eco00260:201,path:eco00260:201,false,456,956,46,17,K15786,K15786,K15786,ko:K15786,#000000,#FFFFFF,rn:R09805,ortholog,rectangle,http://www.kegg.jp/dbget-bin/www_bget?K15786
234,path:eco00260:202,path:eco00260:202,false,259,146,46,17,gpmM...,gpmM...,gpmM...,eco:b3612|eco:b4395,#000000,#BFFFBF,rn:R01518,gene,rectangle,http://www.kegg.jp/dbget-bin/www_bget?eco:b3612+eco:b4395
235,path:eco00260:203,path:eco00260:203,false,953,493,46,17,gcvH,gcvH,gcvH,eco:b2904,#000000,#BFFFBF,,gene,rectangle,http://www.kegg.jp/dbget-bin/www_bget?eco:b2904
